        x        cos(x/2)^2  (cos(x/2)^2)'
        4.35     0.322748     0.468416
        4.36     0.327432     0.470142
        4.37     0.332133     0.471821
        4.38     0.336851     0.473452
        4.39     0.341586     0.475037
        4.40     0.346336     0.476573
        4.41     0.351102     0.478062
        4.42     0.355883     0.479504
        4.43     0.360678     0.480897
        4.44     0.365487     0.482242
        4.45     0.370309     0.483539
        4.46     0.375144     0.484788
        4.47     0.379992     0.485988
        4.48     0.384852     0.487139
        4.49     0.389724     0.488242
        4.50     0.394606     0.489296
        4.51     0.399499     0.490301
        4.52     0.404402     0.491257
        4.53     0.409315     0.492164
        4.54     0.414236     0.493022
        4.55     0.419166     0.493830
        4.56     0.424105     0.494589
        4.57     0.429051     0.495298
        4.58     0.434004     0.495958
        4.59     0.438963     0.496569
        4.60     0.443929     0.497130
        4.61     0.448900     0.497641
        4.62     0.453877     0.498102
        4.63     0.458858     0.498513
        4.64     0.463843     0.498875
        4.65     0.468832     0.499187
        4.66     0.473823     0.499448
        4.67     0.478818     0.499660
        4.68     0.483814     0.499822
        4.69     0.488813     0.499934
        4.70     0.493812     0.499996
        4.71     0.498812     0.500008
        4.72     0.503812     0.499970
        4.73     0.508812     0.499881
        4.74     0.513811     0.499743
        4.75     0.518808     0.499555
        4.76     0.523804     0.499317
        4.77     0.528797     0.499029
        4.78     0.533787     0.498691
        4.79     0.538774     0.498304
        4.80     0.543757     0.497866
        4.81     0.548736     0.497379
        4.82     0.553709     0.496841
        4.83     0.558678     0.496255
        4.84     0.563640     0.495618
        4.85     0.568597     0.494932
        4.86     0.573546     0.494197
        4.87     0.578488     0.493412
        4.88     0.583422     0.492578
        4.89     0.588348     0.491694
        4.90     0.593265     0.490761
        4.91     0.598172     0.489780
        4.92     0.603070     0.488749
        4.93     0.607958     0.487669
        4.94     0.612834     0.486541
        4.95     0.617700     0.485364
        4.96     0.622553     0.484138
        4.97     0.627395     0.482864
        4.98     0.632223     0.481542
        4.99     0.637039     0.480172
        5.00     0.641840     0.478753
        5.01     0.646628     0.477287
        5.02     0.651401     0.475773
        5.03     0.656159     0.474211
        5.04     0.660901     0.472602
        5.05     0.665627     0.470946
        5.06     0.670336     0.469242
        5.07     0.675029     0.467492
        5.08     0.679704     0.465695
        5.09     0.684360     0.463851
        5.10     0.688999     0.461961
        5.11     0.693619     0.460025
        5.12     0.698219     0.458043
        5.13     0.702799     0.456014
        5.14     0.707359     0.453941
        5.15     0.711899     0.451822
        5.16     0.716417     0.449657
        5.17     0.720914     0.447448
        5.18     0.725388     0.445194
        5.19     0.729840     0.442896
        5.20     0.734269     0.440553
        5.21     0.738675     0.438166
        5.22     0.743056     0.435736
        5.23     0.747414     0.433261
        5.24     0.751746     0.430744
        5.25     0.756054     0.428183
        5.26     0.760335     0.425580
        5.27     0.764591     0.422934
        5.28     0.768821     0.420245
        5.29     0.773023     0.417515
        5.30     0.777198     0.414743
        5.31     0.781346     0.411929
        5.32     0.785465     0.409075
        5.33     0.789556     0.406179
        5.34     0.793617     0.403243
        5.35     0.797650     0.400266
        5.36     0.801653     0.397249
        5.37     0.805625     0.394193
        5.38     0.809567     0.391097
        5.39     0.813478     0.387962
        5.40     0.817358     0.384789
        5.41     0.821205     0.381577
        5.42     0.825021     0.378326
        5.43     0.828804     0.375038
        5.44     0.832555     0.371712
        5.45     0.836272     0.368350
        5.46     0.839955     0.364950
        5.47     0.843605     0.361514
        5.48     0.847220     0.358041
        5.49     0.850800     0.354533
        5.50     0.854346     0.350990
        5.51     0.857856     0.347411
        5.52     0.861330     0.343797
        5.53     0.864768     0.340150
        5.54     0.868169     0.336468
        5.55     0.871534     0.332752
        5.56     0.874861     0.329004
        5.57     0.878152     0.325222
        5.58     0.881404     0.321408
        5.59     0.884618     0.317561
        5.60     0.887793     0.313683
        5.61     0.890930     0.309774
        5.62     0.894028     0.305833
        5.63     0.897086     0.301862
        5.64     0.900105     0.297861
        5.65     0.903084     0.293830
        5.66     0.906022     0.289770
        5.67     0.908920     0.285681
        5.68     0.911776     0.281563
        5.69     0.914592     0.277417
        5.70     0.917366     0.273243
        5.71     0.920099     0.269042
        5.72     0.922789     0.264814
        5.73     0.925437     0.260559
        5.74     0.928043     0.256278
        5.75     0.930606     0.251972
        5.76     0.933125     0.247641
        5.77     0.935602     0.243285
        5.78     0.938035     0.238904
        5.79     0.940424     0.234500
        5.80     0.942769     0.230072
        5.81     0.945069     0.225621
        5.82     0.947325     0.221148
        5.83     0.949537     0.216652
        5.84     0.951703     0.212135
